rung,metric,dim,mean,std
theft,bypass_asr,1,0.9297,0.0585
theft,bypass_asr,2,1.0,0.0
theft,bypass_asr,3,1.0,0.0
theft,bypass_asr,4,1.0,0.0
theft,bypass_asr,5,1.0,0.0
theft,retain_mean,1,-10.4862,0.2081
theft,retain_mean,2,-10.4654,0.1584
theft,retain_mean,3,-10.5846,0.3198
theft,retain_mean,4,-10.5413,0.4914
theft,retain_mean,5,-10.8998,1.0987
theft,induce_marginal,1,1.5591,0.8254
theft,induce_marginal,2,0.5077,0.7294
theft,induce_marginal,3,-0.1175,0.9524
theft,induce_marginal,4,-0.2894,0.5938
theft,induce_marginal,5,-4.1663,1.9083
theft,per_basis_bypass_max,1,-4.1759,0.9524
theft,per_basis_bypass_max,2,-2.7504,0.9147
theft,per_basis_bypass_max,3,0.3433,1.4854
theft,per_basis_bypass_max,4,0.4507,0.8083
theft,per_basis_bypass_max,5,1.6283,0.7883
theft,per_basis_induce_min,1,1.5591,0.8254
theft,per_basis_induce_min,2,0.1947,0.3207
theft,per_basis_induce_min,3,-1.1907,0.4949
theft,per_basis_induce_min,4,-1.0669,0.5282
theft,per_basis_induce_min,5,-4.1663,1.9083
theft,loo_bypass_min,1,2.6295,0.0
theft,loo_bypass_min,2,-4.4146,0.9472
theft,loo_bypass_min,3,-7.2779,0.7074
theft,loo_bypass_min,4,-7.8706,0.9472
theft,loo_bypass_min,5,-8.3715,0.7735
theft,necessity_min,1,6.8054,0.9524
theft,necessity_min,2,2.6079,0.4783
theft,necessity_min,3,0.6542,0.4941
theft,necessity_min,4,0.1129,0.311
theft,necessity_min,5,0.0845,0.1935
theft,sample_asr_p05,1,0.9297,0.0585
theft,sample_asr_p05,2,0.8612,0.0486
theft,sample_asr_p05,3,0.6039,0.2642
theft,sample_asr_p05,4,0.8717,0.1103
theft,sample_asr_p05,5,0.4451,0.3095
theft,sample_asr_mean,1,0.9297,0.0585
theft,sample_asr_mean,2,0.966,0.011
theft,sample_asr_mean,3,0.9253,0.0484
theft,sample_asr_mean,4,0.9783,0.0133
theft,sample_asr_mean,5,0.7607,0.1558
theft,sample_asr_median,1,0.9297,0.0585
theft,sample_asr_median,2,0.9818,0.0205
theft,sample_asr_median,3,0.9818,0.0161
theft,sample_asr_median,4,0.9974,0.0037
theft,sample_asr_median,5,0.7734,0.199
theft,sample_asr_p25,1,0.9297,0.0585
theft,sample_asr_p25,2,0.9681,0.0163
theft,sample_asr_p25,3,0.9219,0.0545
theft,sample_asr_p25,4,0.9844,0.011
theft,sample_asr_p25,5,0.5566,0.3166
theft,sample_asr_p75,1,0.9297,0.0585
theft,sample_asr_p75,2,0.987,0.0184
theft,sample_asr_p75,3,1.0,0.0
theft,sample_asr_p75,4,1.0,0.0
theft,sample_asr_p75,5,0.9928,0.0056
theft,n_samples,1,192,90.5097
theft,n_samples,2,192,90.5097
theft,n_samples,3,192,90.5097
theft,n_samples,4,192,90.5097
theft,n_samples,5,192,90.5097
illegal_activities,bypass_asr,1,0.9688,0.011
illegal_activities,bypass_asr,2,0.9974,0.0037
illegal_activities,bypass_asr,3,0.9948,0.0037
illegal_activities,bypass_asr,4,0.9948,0.0037
illegal_activities,bypass_asr,5,0.9974,0.0037
illegal_activities,retain_mean,1,-10.3875,0.4012
illegal_activities,retain_mean,2,-10.5509,0.2699
illegal_activities,retain_mean,3,-10.5541,0.1492
illegal_activities,retain_mean,4,-10.2353,0.3273
illegal_activities,retain_mean,5,-10.6861,0.2791
illegal_activities,induce_marginal,1,2.6089,0.3627
illegal_activities,induce_marginal,2,0.6074,0.1895
illegal_activities,induce_marginal,3,-0.7508,0.8411
illegal_activities,induce_marginal,4,0.6438,0.4083
illegal_activities,induce_marginal,5,-2.5842,0.7695
illegal_activities,per_basis_bypass_max,1,-4.6628,0.7284
illegal_activities,per_basis_bypass_max,2,-2.5965,0.6928
illegal_activities,per_basis_bypass_max,3,-0.528,0.3762
illegal_activities,per_basis_bypass_max,4,-1.335,0.5389
illegal_activities,per_basis_bypass_max,5,1.9483,0.2006
illegal_activities,per_basis_induce_min,1,2.6089,0.3627
illegal_activities,per_basis_induce_min,2,0.6074,0.1895
illegal_activities,per_basis_induce_min,3,-1.1046,0.3994
illegal_activities,per_basis_induce_min,4,-1.6287,0.5859
illegal_activities,per_basis_induce_min,5,-2.8295,0.451
illegal_activities,loo_bypass_min,1,2.7222,0.0
illegal_activities,loo_bypass_min,2,-4.1474,0.8321
illegal_activities,loo_bypass_min,3,-6.6285,0.4115
illegal_activities,loo_bypass_min,4,-7.7374,0.2377
illegal_activities,loo_bypass_min,5,-8.2886,0.0594
illegal_activities,necessity_min,1,7.3849,0.7284
illegal_activities,necessity_min,2,2.8463,0.5916
illegal_activities,necessity_min,3,1.1671,0.2971
illegal_activities,necessity_min,4,0.3173,0.0614
illegal_activities,necessity_min,5,-0.0275,0.1151
illegal_activities,sample_asr_p05,1,0.9688,0.011
illegal_activities,sample_asr_p05,2,0.8676,0.0518
illegal_activities,sample_asr_p05,3,0.9112,0.0469
illegal_activities,sample_asr_p05,4,0.7072,0.1101
illegal_activities,sample_asr_p05,5,0.2057,0.0161
illegal_activities,sample_asr_mean,1,0.9688,0.011
illegal_activities,sample_asr_mean,2,0.9717,0.005
illegal_activities,sample_asr_mean,3,0.9665,0.016
illegal_activities,sample_asr_mean,4,0.9259,0.0228
illegal_activities,sample_asr_mean,5,0.6336,0.0988
illegal_activities,sample_asr_median,1,0.9688,0.011
illegal_activities,sample_asr_median,2,0.9896,0.0037
illegal_activities,sample_asr_median,3,0.9792,0.0074
illegal_activities,sample_asr_median,4,0.9622,0.0212
illegal_activities,sample_asr_median,5,0.6562,0.2017
illegal_activities,sample_asr_p25,1,0.9688,0.011
illegal_activities,sample_asr_p25,2,0.9785,0.0028
illegal_activities,sample_asr_p25,3,0.9583,0.0205
illegal_activities,sample_asr_p25,4,0.9141,0.0221
illegal_activities,sample_asr_p25,5,0.3548,0.0956
illegal_activities,sample_asr_p75,1,0.9688,0.011
illegal_activities,sample_asr_p75,2,0.9948,0.0037
illegal_activities,sample_asr_p75,3,0.987,0.0074
illegal_activities,sample_asr_p75,4,0.987,0.0074
illegal_activities,sample_asr_p75,5,0.9453,0.0552
illegal_activities,n_samples,1,192,90.5097
illegal_activities,n_samples,2,192,90.5097
illegal_activities,n_samples,3,192,90.5097
illegal_activities,n_samples,4,192,90.5097
illegal_activities,n_samples,5,192,90.5097
malicious_use,bypass_asr,1,0.9089,0.0295
malicious_use,bypass_asr,2,0.9688,0.0064
malicious_use,bypass_asr,3,0.9922,0.011
malicious_use,bypass_asr,4,0.9896,0.0037
malicious_use,bypass_asr,5,0.9974,0.0037
malicious_use,retain_mean,1,-10.5196,0.1324
malicious_use,retain_mean,2,-10.3078,0.0824
malicious_use,retain_mean,3,-10.5321,0.2036
malicious_use,retain_mean,4,-10.4159,0.3162
malicious_use,retain_mean,5,-11.0378,0.2552
malicious_use,induce_marginal,1,4.368,0.1285
malicious_use,induce_marginal,2,4.8997,0.3126
malicious_use,induce_marginal,3,3.4626,0.989
malicious_use,induce_marginal,4,3.6688,1.7811
malicious_use,induce_marginal,5,3.4631,0.9345
malicious_use,per_basis_bypass_max,1,-5.7763,0.6174
malicious_use,per_basis_bypass_max,2,-2.4859,0.6176
malicious_use,per_basis_bypass_max,3,0.2562,1.4662
malicious_use,per_basis_bypass_max,4,1.2801,0.7021
malicious_use,per_basis_bypass_max,5,1.1251,0.8095
malicious_use,per_basis_induce_min,1,4.368,0.1285
malicious_use,per_basis_induce_min,2,4.1432,0.2369
malicious_use,per_basis_induce_min,3,3.0876,0.7942
malicious_use,per_basis_induce_min,4,2.9649,1.2747
malicious_use,per_basis_induce_min,5,2.6427,0.5114
malicious_use,loo_bypass_min,1,2.2791,0.0
malicious_use,loo_bypass_min,2,-5.9077,0.2568
malicious_use,loo_bypass_min,3,-6.9829,0.7389
malicious_use,loo_bypass_min,4,-7.2044,0.3887
malicious_use,loo_bypass_min,5,-8.0262,0.4933
malicious_use,necessity_min,1,8.0554,0.6174
malicious_use,necessity_min,2,1.3775,0.2721
malicious_use,necessity_min,3,0.3826,0.254
